+-----------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------+
| Title                                                                                               | URL                                                             | Views      | Date of Publish |
| حملة واسعة على فلول نظام الأسد جنوب إدلب.. والأمن يلقي القبض على عدد كبير من الفارين                | https://www.youtube.com/watch?v=o2FMKN7aZVo                     | 434 views  | 5 hours ago     |
| لتفادي تجدد المواجهات.. وفد أمني لبناني رفيع يزور دمشق لبحث التوترات الحدودية                       | https://www.youtube.com/watch?v=etAd7bdV2ts                     | 1.1K views | 5 hours ago     |
| مواجهة "قريبة وحتمية" بين إسرائيل وتركيا في سوريا وفق مصدر أمني إسرائيلي                            | https://www.youtube.com/watch?v=aUD1Qn5--kc                     | 7.2K views | 5 hours ago     |
| تقارير تتحدث عن استعداد إسرائيل لشن عملية عسكرية برية واسعة في القطاع                               | https://www.youtube.com/watch?v=8wqGIn2EztY                     | 842 views  | 5 hours ago     |
| إسرائيل تغتال عضو المكتب السياسي لحركة "حماس" إسماعيل برهوم أثناء تلقيه العلاج بمجمع ناصر           | https://www.youtube.com/watch?v=vx-dvmKYkHQ                     | 554 views  | 5 hours ago     |
| ليلة دامية في خان يونس.. 10 غارات إسرائيلية تقتل وتصيب العشرات                                      | https://www.youtube.com/watch?v=7rnVqvrnp4Y                     | 348 views  | 6 hours ago     |
| لماذا أنا يا رب؟ - خير                                                                              | https://www.youtube.com/watch?v=sSehs_DkTNg                     | 523 views  | 10 hours ago    |
| قوات "قسد" تتصدى لهجوم مباغت من فصائل تركية.. ومفاوضات أميركية أوكرانية في السعودية                 | https://www.youtube.com/watch?v=CksQ3kvqmO0                     | 1.8K views | 18 hours ago    |
| هل تغير الجزائر المعادلة.. تصنع السلاح بدلا من شرائه؟ - المشهد الليلة                               | https://www.youtube.com/watch?v=p-oDBRtZWq8                     | 141K views | 18 hours ago    |
| إسرائيل.. هل تسقط الدولة العميقة نتانياهو هذه المرة؟ - المشهد الليلة                                | https://www.youtube.com/watch?v=DxYhX7vBYG4                     | 8.8K views | 18 hours ago    |
| رغم سقوط الأسد.. حرب الكبتاغون تتمدد.. من يقف وراءها؟ - المشهد الليلة                               | https://www.youtube.com/watch?v=TbBKYXy1KmE&pp=0gcJCb0Ag7Wk3p_U | 2K views   | 19 hours ago    |
| عالية منصور بجرأة: عملاء الأسد في لبنان أكثر من سوريا.. و"حزب الله" كان أقوى من بشار – مقابلات خاصة | https://www.youtube.com/watch?v=FZ3dUjJ-zvc                     | 73K views  | 19 hours ago    |
| "اخترقت رادارات متطورة".. ما سر صمود "قسد" أمام الهجمات التركية؟ - المشهد الليلة                    | https://www.youtube.com/watch?v=ow-L2G8X4vQ&pp=0gcJCb0Ag7Wk3p_U | 22K views  | 19 hours ago    |
| الجنسية السورية لآلاف الإيرانيين والعراقيين.. والشرع يتصدى للعبة الأسد - المشهد الليلة              | https://www.youtube.com/watch?v=S06mE0-mttQ                     | 11K views  | 19 hours ago    |
| روسيا تتوقع مفاوضات صعبة بشأن النزاع في أوكرانيا – نشرة اليوم                                       | https://www.youtube.com/watch?v=ewKoEDn3tZA&pp=0gcJCb0Ag7Wk3p_U | 1.3K views | 21 hours ago    |
| تبون: شخصية واحدة كفيلة لحل الخلافات المفتعلة مع باريس – نشرة اليوم                                 | https://www.youtube.com/watch?v=7-bd7NWtPJI                     | 56K views  | 21 hours ago    |
| وحوش أميركا الفاخرة.. مقاتلات الجيل السادس                                                          | https://www.youtube.com/watch?v=ABbNpPktceI                     | 12K views  | 21 hours ago    |
| قوات "قسد" تواجه فصائل عدة موالية لتركيا – نشرة اليوم                                               | https://www.youtube.com/watch?v=H9iIyQv0bQ0                     | 16K views  | 21 hours ago    |
| عزل عمدة إسطنبول يضع إردوغان في مواجهة الشارع – نشرة اليوم                                          | https://www.youtube.com/watch?v=Afd9GixWVhI                     | 10K views  | 21 hours ago    |
| أرقام مقلقة لأعداد قتلى القطاع.. وإسرائيل تبدأ عملية في رفح – نشرة اليوم                            | https://www.youtube.com/watch?v=1PDuMSlBXO4&pp=0gcJCb0Ag7Wk3p_U | 1K views   | 21 hours ago    |
| بدعم أميركي.. إسرائيل تتجه لتصفية ما تبقى من قادة "حماس" – نشرة اليوم                               | https://www.youtube.com/watch?v=1ysyhjqV9JU                     | 1.9K views | 21 hours ago    |
| حراك سياسي في إسرائيل بسبب إقالة رئيس الشاباك – نشرة اليوم                                          | https://www.youtube.com/watch?v=SLc3KGMcuS4                     | 5.2K views | 22 hours ago    |
| لبنان: إسرائيل تجاوزت السياج الحدودي بالجنوب – نشرة اليوم                                           | https://www.youtube.com/watch?v=VohsoBBen20                     | 17K views  | 22 hours ago    |
| يريدُ اللهُ بكم اليُسر - خير                                                                        | https://www.youtube.com/watch?v=eaCjiPpXVXw                     | 304 views  | 22 hours ago    |
| كيف تبدو إسطنبول تزامنا مع استمرار توقيف رئيس البلدية وماذا عن الاحتجاجات الشعبية؟                  | https://www.youtube.com/watch?v=fB-pqemo1zU                     | 6.9K views | 1 day ago       |
| غارات إسرائيلية مستمرة على جنوب لبنان.. ماذا استهدفت في الساعات القليلة الماضية؟                    | https://www.youtube.com/watch?v=Mb2AYpeC4o0&pp=0gcJCb0Ag7Wk3p_U | 9.1K views | 1 day ago       |
| بعد تصعيد إسرائيل.. هل "الفصائل الفلسطينية" مستعدة للاستمرار في القتال؟                             | https://www.youtube.com/watch?v=IejMUlAKm-s                     | 849 views  | 1 day ago       |
| اجتماع وزاري مصغر بإسرائيل من أجل إنشاء إدارة للهجرة من غزة                                         | https://www.youtube.com/watch?v=_925AKR4wew                     | 985 views  | 1 day ago       |
| تونس.. انقسام في الشارع حول تصوير العنف في دراما رمضان                                              | https://www.youtube.com/watch?v=N49qr9hDCp0                     | 520 views  | 1 day ago       |
+-----------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------+
